dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,1,7.446582266544274,13.862896863102918,10.126539139047228,3519,48.947996589940324,29.61326514092711,0.6049944268201808,60.49944268201808
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,2,13.862896863102918,25.807800485928613,18.890532931203765,3464,51.4385103926097,33.12969393917986,0.6440640229725565,64.40640229725565
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,3,25.807800485928613,48.04497735925719,35.1509448293089,3591,60.06432748538012,35.72582498944315,0.5947927244859097,59.47927244859097
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,4,48.04497735925719,89.44271909999146,65.33032249617095,3632,67.45897577092511,37.633433823592945,0.557871408415498,55.7871408415498
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,5,89.44271909999146,166.51064148037437,122.33655065530706,3458,76.39097744360902,38.668906054387534,0.5061972938221991,50.61972938221991
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,6,166.51064148037437,309.98379750966797,226.66854734205302,3420,89.48040935672515,40.42364910251639,0.45175976946375296,45.17597694637529
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,7,309.98379750966797,577.0799623628864,423.9122727903203,3460,107.06387283236994,42.24967438716921,0.39462120386135835,39.46212038613584
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,8,577.0799623628864,1074.318353527377,785.430359077415,3480,126.89655172413794,43.174278497132526,0.3402320859828379,34.02320859828379
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,9,1074.318353527377,2000.0000000000023,1472.1443572188189,3509,157.7748646337988,43.32076900494964,0.2745733238656152,27.45733238656152
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,10,2000.0000000000023,3723.2911332721424,2757.83290740605,3541,189.95622705450438,45.7575695304907,0.24088480930589035,24.088480930589036
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,11,3723.2911332721424,6931.448431551469,5112.862880864769,3588,234.06521739130434,44.47871995661968,0.19002703798685847,19.002703798685847
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,12,6931.448431551469,12903.900242964326,9437.73187131164,3563,270.89671625035083,46.15319608036271,0.17037192890042255,17.037192890042256
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,13,12903.900242964326,24022.48867962863,17542.763410239568,3529,322.18900538396144,46.94655272947466,0.14571121902042303,14.571121902042304
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,14,24022.48867962863,44721.359549995796,32679.912704033835,3582,384.47571189279734,52.01779494896179,0.13529539926690043,13.529539926690042
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,15,44721.359549995796,83255.32074018731,60916.06474426433,3587,441.2051853916922,52.374660021663956,0.11870816970377827,11.870816970377827
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,16,83255.32074018731,154991.89875483367,113419.94881444096,3552,518.7074887387388,54.6587018721867,0.10537480768803213,10.537480768803213
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,17,154991.89875483367,288539.98118144256,211094.54104579787,3424,603.9953271028037,57.41026297018868,0.09505083962415675,9.505083962415675
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,18,288539.98118144256,537159.1767636873,394447.8316800359,3487,699.7123601950101,61.93444575988312,0.08851415136159944,8.851415136159945
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,0,19,537159.1767636873,999999.9999999991,732302.5486449993,3460,821.7627167630058,63.621110233058744,0.07742029290847824,7.742029290847824
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,0,3.9999999999999987,7.446582266544274,5.451597087333129,3154,43.955928979074194,30.806838002799452,0.7008573978146488,70.08573978146488
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,1,7.446582266544274,13.862896863102918,10.161836749109513,3145,47.19809220985692,31.783086907771605,0.6733977035862898,67.33977035862898
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,2,13.862896863102918,25.807800485928613,18.908498679557216,3276,48.98199023199023,32.058557538502285,0.6544968341765088,65.44968341765089
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,3,25.807800485928613,48.04497735925719,35.23263364078647,3166,54.62792166771952,35.87232143920643,0.6566664142451522,65.66664142451522
