dataset_id,gift_dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,1,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,584.4501943241592,0.2543422343657189,25.43422343657189
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,2,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,550.4255776955151,0.7651589294913907,76.51589294913907
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,2,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,388.2951984730281,0.36041933716699776,36.04193371669977
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,2,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,582.0862731511914,0.3058960912274158,30.589609122741578
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,2,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,649.6024060444881,0.3545864661814892,35.45864661814892
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,2,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,702.8997479308412,0.3058893540630323,30.58893540630323
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,3,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,220.18159875201619,0.3060793742546466,30.60793742546466
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,3,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,405.4289930392714,0.3763230900462646,37.63230900462646
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,3,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,656.453520974955,0.3449773262159638,34.49773262159638
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,3,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,662.6509806964149,0.36170905059847974,36.170905059847975
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,3,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,504.5251438782218,0.21956028697374386,21.956028697374386
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,4,0,34.88949903172141,389.58643402739835,147.27817355026383,36,719.3611111111111,206.48035703498041,0.28703297112635806,28.703297112635806
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,4,1,393.71516676538124,5044.166239992103,1245.4932965571754,35,1077.3428571428572,337.1751853958851,0.3129692494458848,31.296924944588476
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,4,2,5592.307825066546,19810.215511983595,11336.636571217578,36,1902.888888888889,618.8505073205007,0.3252163123837736,32.52163123837736
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,4,3,20016.084736488418,65890.03662361103,32819.46493671878,35,1832.0,690.6249961081724,0.376978709666033,37.6978709666033
ceacce0,da569da,MuScaRi_ClimateDEM_Area,Climate + DEM + area,ad74a3020281,4,4,69619.01628614723,782531.9648156572,207420.5103674639,36,2297.8888888888887,524.2637891722587,0.22815019111988438,22.815019111988438
